AMMO_ARROW_DYNAMITE,Arrow Dynamite
PROVISION_ANIMAL_CARCASS_WOODPECKER_POOR,Poor Woodpecker Carcass
PROVISION_ANIMAL_FAT,Animal Fat
PROVISION_ANIMAL_PELT_ALLIGATOR,Alligator Pelt
PROVISION_ANIMAL_PELT_ALLIGATOR_GOOD,Good Alligator Pelt
PROVISION_ANIMAL_PELT_ALLIGATOR_PERFECT,Perfect Alligator Pelt
PROVISION_ANIMAL_PELT_ALLIGATOR_POOR,Poor Alligator Pelt
PROVISION_ANIMAL_PELT_ARMADILLO,Armadillo Pelt
PROVISION_ANIMAL_PELT_ARMADILLO_GOOD,Good Armadillo Pelt
PROVISION_ANIMAL_PELT_ARMADILLO_PERFECT,Perfect Armadillo Pelt
PROVISION_ANIMAL_PELT_ARMADILLO_POOR,Poor Armadillo Pelt
PROVISION_ANIMAL_PELT_BADGER,Badger Pelt
PROVISION_ANIMAL_PELT_BADGER_GOOD,Good Badger Pelt
PROVISION_ANIMAL_PELT_BADGER_PERFECT,Perfect Badger Pelt
PROVISION_ANIMAL_PELT_BADGER_POOR,Poor Badger Pelt
PROVISION_ANIMAL_PELT_BAT,Bat Pelt
PROVISION_ANIMAL_PELT_BAT_GOOD,Good Bat Pelt
PROVISION_ANIMAL_PELT_BAT_PERFECT,Perfect Bat Pelt
PROVISION_ANIMAL_PELT_BAT_POOR,Poor Bat Pelt
PROVISION_ANIMAL_PELT_BEAR,Bear Pelt
PROVISION_ANIMAL_PELT_BEAR_GOOD,Good Bear Pelt
PROVISION_ANIMAL_PELT_BEAR_PERFECT,Perfect Bear Pelt
PROVISION_ANIMAL_PELT_BEAR_POOR,Poor Bear Pelt
PROVISION_ANIMAL_PELT_BEAVER,Beaver Pelt
PROVISION_ANIMAL_PELT_BEAVER_GOOD,Good Beaver Pelt
PROVISION_ANIMAL_PELT_BEAVER_PERFECT,Perfect Beaver Pelt
PROVISION_ANIMAL_PELT_BEAVER_POOR,Poor Beaver Pelt
PROVISION_ANIMAL_PELT_BISON,Bison Pelt
PROVISION_ANIMAL_PELT_BISON_GOOD,Good Bison Pelt
PROVISION_ANIMAL_PELT_BISON_PERFECT,Perfect Bison Pelt
PROVISION_ANIMAL_PELT_BISON_POOR,Poor Bison Pelt
PROVISION_ANIMAL_PELT_BOAR,Boar Pelt
PROVISION_ANIMAL_PELT_BOAR_GOOD,Good Boar Pelt
PROVISION_ANIMAL_PELT_BOAR_PERFECT,Perfect Boar Pelt
PROVISION_ANIMAL_PELT_BOAR_POOR,Poor Boar Pelt
PROVISION_ANIMAL_PELT_BUCK,Buck Pelt
PROVISION_ANIMAL_PELT_BUCK_GOOD,Good Buck Pelt
PROVISION_ANIMAL_PELT_BUCK_PERFECT,Perfect Buck Pelt
PROVISION_ANIMAL_PELT_BUCK_POOR,Poor Buck Pelt
PROVISION_ANIMAL_PELT_BULL,Bull Pelt
PROVISION_ANIMAL_PELT_BULL_GOOD,Good Bull Pelt
PROVISION_ANIMAL_PELT_BULL_PERFECT,Perfect Bull Pelt
PROVISION_ANIMAL_PELT_BULL_POOR,Poor Bull Pelt
PROVISION_ANIMAL_PELT_CHIPMUNK,Chipmunk Pelt
PROVISION_ANIMAL_PELT_CHIPMUNK_GOOD,Good Chipmunk Pelt
PROVISION_ANIMAL_PELT_CHIPMUNK_PERFECT,Perfect Chipmunk Pelt
PROVISION_ANIMAL_PELT_CHIPMUNK_POOR,Poor Chipmunk Pelt
PROVISION_ANIMAL_PELT_COUGAR,Cougar Pelt
PROVISION_ANIMAL_PELT_COUGAR_GOOD,Good Cougar Pelt
PROVISION_ANIMAL_PELT_COUGAR_PERFECT,Perfect Cougar Pelt
PROVISION_ANIMAL_PELT_COUGAR_POOR,Poor Cougar Pelt
PROVISION_ANIMAL_PELT_COW,Cow Pelt
PROVISION_ANIMAL_PELT_COW_GOOD,Good Cow Pelt
PROVISION_ANIMAL_PELT_COW_PERFECT,Perfect Cow Pelt
PROVISION_ANIMAL_PELT_COW_POOR,Poor Cow Pelt
PROVISION_ANIMAL_PELT_COYOTE,Coyote Pelt
PROVISION_ANIMAL_PELT_COYOTE_GOOD,Good Coyote Pelt
PROVISION_ANIMAL_PELT_COYOTE_PERFECT,Perfect Coyote Pelt
PROVISION_ANIMAL_PELT_COYOTE_POOR,Poor Coyote Pelt
PROVISION_ANIMAL_PELT_DEER,Deer Pelt
PROVISION_ANIMAL_PELT_DEER_GOOD,Good Deer Pelt
PROVISION_ANIMAL_PELT_DEER_PERFECT,Perfect Deer Pelt
PROVISION_ANIMAL_PELT_DEER_POOR,Poor Deer Pelt
PROVISION_ANIMAL_PELT_ELK,Elk Pelt
PROVISION_ANIMAL_PELT_ELK_GOOD,Good Elk Pelt
PROVISION_ANIMAL_PELT_ELK_PERFECT,Perfect Elk Pelt
PROVISION_ANIMAL_PELT_ELK_POOR,Poor Elk Pelt
PROVISION_ANIMAL_PELT_FOX,Fox Pelt
PROVISION_ANIMAL_PELT_FOX_GOOD,Good Fox Pelt
PROVISION_ANIMAL_PELT_FOX_PERFECT,Perfect Fox Pelt
PROVISION_ANIMAL_PELT_FOX_POOR,Poor Fox Pelt
PROVISION_ANIMAL_PELT_GILA_MONSTER,Gila Monster Pelt
PROVISION_ANIMAL_PELT_GILA_MONSTER_GOOD,Good Gila Monster Pelt
PROVISION_ANIMAL_PELT_GILA_MONSTER_PERFECT,Perfect Gila Monster Pelt
PROVISION_ANIMAL_PELT_GILA_MONSTER_POOR,Poor Gila Monster Pelt
PROVISION_ANIMAL_PELT_GOAT,Goat Pelt
PROVISION_ANIMAL_PELT_GOAT_GOOD,Good Goat Pelt
PROVISION_ANIMAL_PELT_GOAT_PERFECT,Perfect Goat Pelt
PROVISION_ANIMAL_PELT_GOAT_POOR,Poor Goat Pelt
PROVISION_ANIMAL_PELT_IGUANA,Iguana Pelt
PROVISION_ANIMAL_PELT_IGUANA_GOOD,Good Iguana Pelt
PROVISION_ANIMAL_PELT_IGUANA_PERFECT,Perfect Iguana Pelt
PROVISION_ANIMAL_PELT_IGUANA_POOR,Poor Iguana Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_BEAR,Legendary Bear Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_BEAVER,Legendary Beaver Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_BIGHORN_RAM,Legendary Bighorn Ram Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_BOAR,Legendary Boar Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_BUCK,Legendary Buck Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_BULLGATOR,Legendary Bullgator Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_COUGAR,Legendary Cougar Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_COYOTE,Legendary Coyote Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_ELK,Legendary Elk Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_FOX,Legendary Fox Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_MOOSE,Legendary Moose Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_PANTHER_GIAGUARO,Legendary Panther Giaguaro Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_PRONGHORN,Legendary Pronghorn Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_TATANKA_BISON,Legendary Tatanka Bison Pelt
PROVISION_ANIMAL_PELT_LEGENDARY_WOLF,Legendary Wolf Pelt
PROVISION_ANIMAL_PELT_MOOSE,Moose Pelt
PROVISION_ANIMAL_PELT_MOOSE_GOOD,Good Moose Pelt
PROVISION_ANIMAL_PELT_MOOSE_PERFECT,Perfect Moose Pelt
PROVISION_ANIMAL_PELT_MOOSE_POOR,Poor Moose Pelt
PROVISION_ANIMAL_PELT_OPOSSUM,Opossum Pelt
PROVISION_ANIMAL_PELT_OPOSSUM_GOOD,Good Opossum Pelt
PROVISION_ANIMAL_PELT_OPOSSUM_PERFECT,Perfect Opossum Pelt
PROVISION_ANIMAL_PELT_OPOSSUM_POOR,Poor Opossum Pelt
PROVISION_ANIMAL_PELT_OX,Ox Pelt
PROVISION_ANIMAL_PELT_OX_GOOD,Good Ox Pelt
PROVISION_ANIMAL_PELT_OX_PERFECT,Perfect Ox Pelt
PROVISION_ANIMAL_PELT_OX_POOR,Poor Ox Pelt
PROVISION_ANIMAL_PELT_PANTHER,Panther Pelt
PROVISION_ANIMAL_PELT_PANTHER_GOOD,Good Panther Pelt
PROVISION_ANIMAL_PELT_PANTHER_PERFECT,Perfect Panther Pelt
PROVISION_ANIMAL_PELT_PANTHER_POOR,Poor Panther Pelt
PROVISION_ANIMAL_PELT_PIG,Pig Pelt
PROVISION_ANIMAL_PELT_PIG_GOOD,Good Pig Pelt
PROVISION_ANIMAL_PELT_PIG_PERFECT,Perfect Pig Pelt
PROVISION_ANIMAL_PELT_PIG_POOR,Poor Pig Pelt
PROVISION_ANIMAL_PELT_PRONGHORN,Pronghorn Pelt
PROVISION_ANIMAL_PELT_PRONGHORN_GOOD,Good Pronghorn Pelt
PROVISION_ANIMAL_PELT_PRONGHORN_PERFECT,Perfect Pronghorn Pelt
PROVISION_ANIMAL_PELT_PRONGHORN_POOR,Poor Pronghorn Pelt
PROVISION_ANIMAL_PELT_RABBIT,Rabbit Pelt
PROVISION_ANIMAL_PELT_RABBIT_GOOD,Good Rabbit Pelt
PROVISION_ANIMAL_PELT_RABBIT_PERFECT,Perfect Rabbit Pelt
PROVISION_ANIMAL_PELT_RABBIT_POOR,Poor Rabbit Pelt
PROVISION_ANIMAL_PELT_RACCOON,Raccoon Pelt
PROVISION_ANIMAL_PELT_RACCOON_GOOD,Good Raccoon Pelt
PROVISION_ANIMAL_PELT_RACCOON_PERFECT,Perfect Raccoon Pelt
PROVISION_ANIMAL_PELT_RACCOON_POOR,Poor Raccoon Pelt
PROVISION_ANIMAL_PELT_RAT,Rat Pelt
PROVISION_ANIMAL_PELT_RAT_GOOD,Good Rat Pelt
PROVISION_ANIMAL_PELT_RAT_PERFECT,Perfect Rat Pelt
PROVISION_ANIMAL_PELT_RAT_POOR,Poor Rat Pelt
PROVISION_ANIMAL_PELT_SHEEP,Sheep Pelt
PROVISION_ANIMAL_PELT_SHEEP_GOOD,Good Sheep Pelt
PROVISION_ANIMAL_PELT_SHEEP_PERFECT,Perfect Sheep Pelt
PROVISION_ANIMAL_PELT_SHEEP_POOR,Poor Sheep Pelt
PROVISION_ANIMAL_PELT_SKUNK,Skunk Pelt
PROVISION_ANIMAL_PELT_SKUNK_GOOD,Good Skunk Pelt
PROVISION_ANIMAL_PELT_SKUNK_PERFECT,Perfect Skunk Pelt
PROVISION_ANIMAL_PELT_SKUNK_POOR,Poor Skunk Pelt
PROVISION_ANIMAL_PELT_SNAKE,Snake Pelt
PROVISION_ANIMAL_PELT_SNAKE_GOOD,Good Snake Pelt
PROVISION_ANIMAL_PELT_SNAKE_PERFECT,Perfect Snake Pelt
PROVISION_ANIMAL_PELT_SNAKE_POOR,Poor Snake Pelt
PROVISION_ANIMAL_PELT_SQUIRREL,Squirrel Pelt
PROVISION_ANIMAL_PELT_SQUIRREL_GOOD,Good Squirrel Pelt
PROVISION_ANIMAL_PELT_SQUIRREL_PERFECT,Perfect Squirrel Pelt
PROVISION_ANIMAL_PELT_SQUIRREL_POOR,Poor Squirrel Pelt
PROVISION_ANIMAL_PELT_TURTLE,Turtle Pelt
PROVISION_ANIMAL_PELT_TURTLE_GOOD,Good Turtle Pelt
PROVISION_ANIMAL_PELT_TURTLE_PERFECT,Perfect Turtle Pelt
PROVISION_ANIMAL_PELT_TURTLE_POOR,Poor Turtle Pelt
PROVISION_ANIMAL_PELT_WOLF,Wolf Pelt
PROVISION_ANIMAL_PELT_WOLF_GOOD,Good Wolf Pelt
PROVISION_ANIMAL_PELT_WOLF_PERFECT,Perfect Wolf Pelt
PROVISION_ANIMAL_PELT_WOLF_POOR,Poor Wolf Pelt
PROVISION_BADGER_CLAW,Badger Claw
PROVISION_BEAR_CLAW,Bear Claw
PROVISION_BEAR_CLAW_LEGENDARY,Legendary Bear Claw
PROVISION_BEAVER_TOOTH_LEGENDARY,Legendary Beaver Tooth
PROVISION_BEEF,Beef
PROVISION_BIGHORN_RAM_HORN_LEGENDARY,Legendary Bighorn Ram Horn
PROVISION_BIG_GAME_MEAT,Big Game Meat
PROVISION_BLUEJAY_FEATHER,Bluejay Feather
PROVISION_BOAR_TUSK,Boar Tusk
PROVISION_BOAR_TUSK_LEGENDARY,Legendary Boar Tusk
PROVISION_BUCK_ANTLER,Buck Antler
PROVISION_BUCK_ANTLER_LEGENDARY,Legendary Buck Antler
PROVISION_BULLGATOR_TOOTH_LEGENDARY,Legendary Bullgator Tooth
PROVISION_CARDINAL_FEATHER,Cardinal Feather
PROVISION_CHICKEN_FEATHER,Chicken Feather
PROVISION_CONDOR_FEATHER,Condor Feather
PROVISION_COUGAR_FANG_LEGENDARY,Legendary Cougar Fang
PROVISION_COYOTE_FANG,Coyote Fang
PROVISION_COYOTE_FANG_LEGENDARY,Legendary Coyote Fang
PROVISION_CRANE_FEATHER,Crane Feather
PROVISION_CROW_FEATHER,Crow Feather
PROVISION_CRUSTACEAN_MEAT,Crustacean Meat
PROVISION_DEER_ANTLER,Deer Antler
PROVISION_DUCK_FEATHER,Duck Feather
PROVISION_EAGLE_FEATHER,Eagle Feather
PROVISION_EAGLE_TALON,Eagle Talon
PROVISION_EGRET_FEATHER,Egret Feather
PROVISION_EGRET_PLUME_LITTLE,Egret Plume Little
PROVISION_EGRET_PLUME_REDDISH,Egret Plume Reddish
PROVISION_EGRET_PLUME_SNOWY,Egret Plume Snowy
PROVISION_ELK_ANTLER,Elk Antler
PROVISION_ELK_ANTLER_LEGENDARY,Legendary Elk Antler
PROVISION_EXOTIC_BIRD_MEAT,Exotic Bird Meat
PROVISION_FLAKY_FISH,Flaky Fish
PROVISION_FLIGHT_FEATHER,Flight Feather
PROVISION_FOX_CLAW_LEGENDARY,Legendary Fox Claw
PROVISION_GATOR_TOOTH,Gator Tooth
PROVISION_GOOSE_FEATHER,Goose Feather
PROVISION_GRITTY_FISH,Gritty Fish
PROVISION_GULL_FEATHER,Gull Feather
PROVISION_HAWK_FEATHER,Hawk Feather
PROVISION_HAWK_TALON,Hawk Talon
PROVISION_HERON_FEATHER,Heron Feather
PROVISION_HERON_PLUME,Heron Plume
PROVISION_HERPTILE_MEAT,Herptile Meat
PROVISION_LEGENDARY_BEAR_CLAW,Legendary Bear Claw
PROVISION_LEGENDARY_BEAR_PELT,Legendary Bear Pelt
PROVISION_LEGENDARY_BEAVER_PELT,Legendary Beaver Pelt
PROVISION_LEGENDARY_BEAVER_TOOTH,Legendary Beaver Tooth
PROVISION_LEGENDARY_BIGHORN_RAM_HORN,Legendary Bighorn Ram Horn
PROVISION_LEGENDARY_BIGHORN_RAM_PELT,Legendary Bighorn Ram Pelt
PROVISION_LEGENDARY_BOAR_PELT,Legendary Boar Pelt
